,7.3.5,,7.3.5,,,,,,"""7_3_5_barometer"" data-text=""       7.3.5. Barometer     "">       7.3.5. Barometer                 Device implementations:                 [C-SR] Are STRONGLY RECOMMENDED to include a barometer (ambient air pressure sensor).                        If device implementations include a barometer  they:                 [C-1-1] MUST implement and report TYPE_PRESSURE sensor.              [C-1-2] MUST be able to deliver events at 5 Hz or greater.              [C-1-3] MUST be temperature compensated.              [SR] STRONGLY RECOMMENDED to be able to report pressure measurements in the range 300hPa to 1100hPa.              SHOULD have an absolute accuracy of 1hPa.              SHOULD have a relative accuracy of 0.12hPa over 20hPa range (equivalent to ~1m accuracy over ~200m change at sea level).                  7.3.5. Barometer Device implementations: [C-SR] Are STRONGLY RECOMMENDED to include a barometer (ambient air pressure sensor). If device implementations include a barometer  they: [C-1-1] MUST implement and report TYPE_PRESSURE sensor. [C-1-2] MUST be able to deliver events at 5 Hz or greater. [C-1-3] MUST be temperature compensated. [SR] STRONGLY RECOMMENDED to be able to report pressure measurements in the range 300hPa to 1100hPa. SHOULD have an absolute accuracy of 1hPa. SHOULD have a relative accuracy of 0.12hPa over 20hPa range (equivalent to ~1m accuracy over ~200m change at sea level). <h4 id=",,TYPE_PRESSURE ,Last augmented column
,7.3.5,C-1-1,7.3.5/C-1-1,,,,,,key=[7.3.5/C-1-1]: [C-1-1] MUST implement and report TYPE_PRESSURE sensor. ,,TYPE_PRESSURE ,Last augmented column
,7.3.5,C-1-2,7.3.5/C-1-2,,,,,,key=[7.3.5/C-1-2]: [C-1-2] MUST be able to deliver events at 5 Hz or greater. ,,,Last augmented column
,7.3.5,C-1-3,7.3.5/C-1-3,,,,,,key=[7.3.5/C-1-3]: [C-1-3] MUST be temperature compensated. ,,,Last augmented column
,7.3.6,,7.3.6,,,,,,"""7_3_6_thermometer"" data-text=""       7.3.6. Thermometer     "">       7.3.6. Thermometer                 If device implementations include an ambient thermometer (temperature sensor)  they:                 [C-1-1] MUST define SENSOR_TYPE_AMBIENT_TEMPERATURE for the ambient temperature sensor and the sensor MUST measure the ambient (room/vehicle cabin) temperature from where the user is interacting with the device in degrees Celsius.                        If device implementations include a thermometer sensor that measures a temperature other than ambient temperature  such as CPU temperature  they:                 [C-2-1] MUST NOT define SENSOR_TYPE_AMBIENT_TEMPERATURE for the temperature sensor.                  7.3.6. Thermometer If device implementations include an ambient thermometer (temperature sensor)  they: [C-1-1] MUST define SENSOR_TYPE_AMBIENT_TEMPERATURE for the ambient temperature sensor and the sensor MUST measure the ambient (room/vehicle cabin) temperature from where the user is interacting with the device in degrees Celsius. If device implementations include a thermometer sensor that measures a temperature other than ambient temperature  such as CPU temperature  they: [C-2-1] MUST NOT define SENSOR_TYPE_AMBIENT_TEMPERATURE for the temperature sensor. <h4 id=",https://developer.android.com ,SENSOR_TYPE_AMBIENT_TEMPERATURE ,Last augmented column
,7.3.6,C-1-1,7.3.6/C-1-1,,,,,,key=[7.3.6/C-1-1]: [C-1-1] MUST define SENSOR_TYPE_AMBIENT_TEMPERATURE for the ambient temperature sensor and the sensor MUST measure the ambient (room/vehicle cabin) temperature from where the user is interacting with the device in degrees Celsius. If device implementations include a thermometer sensor that measures a temperature other than ambient temperature  such as CPU temperature  they: ,https://developer.android.com ,SENSOR_TYPE_AMBIENT_TEMPERATURE ,Last augmented column
,7.3.6,C-2-1,7.3.6/C-2-1,,,,,,key=[7.3.6/C-2-1]: [C-2-1] MUST NOT define SENSOR_TYPE_AMBIENT_TEMPERATURE for the temperature sensor. <h4 id=,https://developer.android.com ,SENSOR_TYPE_AMBIENT_TEMPERATURE ,Last augmented column
,7.3.7,,7.3.7,,,,,,"""7_3_7_photometer"" data-text=""       7.3.7. Photometer     "">       7.3.7. Photometer                 Device implementations MAY include a photometer (ambient light sensor).                  7.3.7. Photometer Device implementations MAY include a photometer (ambient light sensor). <h4 id=",,,Last augmented column
,7.3.8,,7.3.8,,,,,,"""7_3_8_proximity_sensor"" data-text=""       7.3.8. Proximity Sensor     "">       7.3.8. Proximity Sensor                 Device implementations MAY include a proximity sensor.                        If device implementations include a proximity sensor  they:                 [C-1-1] MUST measure the proximity of an object in the same direction as the screen. That is  the proximity sensor MUST be oriented to detect objects close to the screen  as the primary intent of this sensor type is to detect a phone in use by the user. If device implementations include a proximity sensor with any other orientation  it MUST NOT be accessible through this API.              [C-1-2] MUST have 1-bit of accuracy or more.                  7.3.8. Proximity Sensor Device implementations MAY include a proximity sensor. If device implementations include a proximity sensor  they: [C-1-1] MUST measure the proximity of an object in the same direction as the screen. That is  the proximity sensor MUST be oriented to detect objects close to the screen  as the primary intent of this sensor type is to detect a phone in use by the user. If device implementations include a proximity sensor with any other orientation  it MUST NOT be accessible through this API. [C-1-2] MUST have 1-bit of accuracy or more. <h4 id=",,,Last augmented column
,7.3.8,C-1-1,7.3.8/C-1-1,,,,,,key=[7.3.8/C-1-1]: [C-1-1] MUST measure the proximity of an object in the same direction as the screen. That is  the proximity sensor MUST be oriented to detect objects close to the screen  as the primary intent of this sensor type is to detect a phone in use by the user. If device implementations include a proximity sensor with any other orientation  it MUST NOT be accessible through this API. ,,,Last augmented column
